t;q1;q2;q1dot;q2dot;x;y
0.449249249;0.543348495;-0.762305222;0.228269132;0.35886031;0.683585928;0.14502798
0.451971972;0.543971518;-0.761325772;0.229377219;0.360602325;0.683565719;0.145771334
0.454694695;0.544597553;-0.760341586;0.230481988;0.362339125;0.683544432;0.146518382
0.457417417;0.545226592;-0.759352679;0.231583439;0.364070708;0.683522055;0.147269114
0.46014014;0.545858625;-0.758359064;0.232681572;0.365797077;0.683498573;0.148023518
0.462862863;0.546493644;-0.757360755;0.233776388;0.367518229;0.683473972;0.148781585
0.465585586;0.547131639;-0.756357768;0.234867887;0.369234166;0.683448238;0.149543303
0.468308308;0.547772601;-0.755350116;0.235956068;0.370944888;0.683421356;0.150308661
0.471031031;0.548416521;-0.754337813;0.237040931;0.372650393;0.683393313;0.151077648
0.473753754;0.549063391;-0.753320873;0.238122476;0.374350683;0.683364094;0.151850253
0.476476476;0.549713201;-0.752299311;0.239200704;0.376045758;0.683333686;0.152626466
0.479199199;0.550365943;-0.751273141;0.240275614;0.377735617;0.683302073;0.153406274
0.481921922;0.551021606;-0.750242377;0.241347207;0.37942026;0.683269242;0.154189667
0.484644645;0.551680183;-0.749207034;0.242415482;0.381099688;0.683235179;0.154976634
0.487367367;0.552341663;-0.748167124;0.243480439;0.3827739;0.683199869;0.155767163
0.49009009;0.553006039;-0.747122664;0.244542079;0.384442896;0.683163298;0.156561244
0.492812813;0.553673301;-0.746073666;0.245600401;0.386106677;0.683125452;0.157358863
0.495535536;0.55434344;-0.745020146;0.246655406;0.387765242;0.683086317;0.158160012
0.498258258;0.555016446;-0.743962117;0.247707092;0.389418592;0.683045878;0.158964677
0.500980981;0.555692312;-0.742899593;0.248755462;0.391066726;0.683004121;0.159772847
0.503703704;0.556371028;-0.741832589;0.249800513;0.392709644;0.682961032;0.160584511
0.506426426;0.557052584;-0.740761119;0.250842247;0.394347347;0.682916596;0.161399658
0.509149149;0.557736972;-0.739685197;0.251880664;0.395979834;0.6828708;0.162218275
0.511871872;0.558424184;-0.738604837;0.252915762;0.397607105;0.68282363;0.163040351
0.514594595;0.559114208;-0.737520053;0.253947543;0.399229161;0.68277507;0.163865875
0.517317317;0.559807038;-0.736430861;0.254976007;0.400846002;0.682725106;0.164694834
0.52004004;0.560502663;-0.735337273;0.256001153;0.402457626;0.682673725;0.165527216
0.522762763;0.561201075;-0.734239305;0.257022981;0.404064035;0.682620912;0.166363011
0.525485485;0.561902265;-0.733136969;0.258041492;0.405665229;0.682566653;0.167202205
0.528208208;0.562606223;-0.732030281;0.259056685;0.407261207;0.682510933;0.168044787
0.530930931;0.563312941;-0.730919255;0.26006856;0.408851969;0.682453739;0.168890745
0.533653654;0.564022409;-0.729803905;0.261077118;0.410437516;0.682395056;0.169740067
0.536376376;0.564734619;-0.728684245;0.262082358;0.412017847;0.682334869;0.170592741
0.539099099;0.565449562;-0.727560289;0.263084281;0.413592962;0.682273165;0.171448755
0.541821822;0.566167227;-0.726432052;0.264082885;0.415162862;0.68220993;0.172308095
0.544544545;0.566887607;-0.725299547;0.265078173;0.416727546;0.682145148;0.173170751
0.547267267;0.567610693;-0.724162789;0.266070142;0.418287014;0.682078807;0.17403671
0.54998999;0.568336475;-0.723021793;0.267058794;0.419841267;0.682010891;0.174905959
0.552712713;0.569064944;-0.721876571;0.268044129;0.421390305;0.681941387;0.175778486
0.555435435;0.569796092;-0.72072714;0.269026145;0.422934126;0.68187028;0.176654279
0.558158158;0.570529908;-0.719573511;0.270004845;0.424472732;0.681797557;0.177533324
0.560880881;0.571266385;-0.718415701;0.270980226;0.426006123;0.681723202;0.17841561
0.563603604;0.572005513;-0.717253723;0.27195229;0.427534298;0.681647202;0.179301124
0.566326326;0.572747284;-0.716087591;0.272921036;0.429057257;0.681569543;0.180189854
0.569049049;0.573491687;-0.71491732;0.273886465;0.430575001;0.68149021;0.181081785
0.571771772;0.574238714;-0.713742923;0.274848576;0.432087529;0.68140919;0.181976906
0.574494494;0.574988357;-0.712564416;0.275807369;0.433594841;0.681326468;0.182875204
0.577217217;0.575740605;-0.711381811;0.276762845;0.435096938;0.681242031;0.183776666
0.57993994;0.576495451;-0.710195124;0.277715003;0.436593819;0.681155864;0.184681279
0.582662663;0.577252884;-0.709004368;0.278663844;0.438085484;0.681067953;0.18558903
0.585385385;0.578012897;-0.707809558;0.279609367;0.439571934;0.680978284;0.186499906
0.588108108;0.578775479;-0.706610708;0.280551572;0.441053169;0.680886843;0.187413894
0.590830831;0.579540622;-0.705407832;0.281490459;0.442529187;0.680793617;0.18833098
0.593553554;0.580308317;-0.704200944;0.28242603;0.443999991;0.680698591;0.189251152
0.596276276;0.581078554;-0.702990059;0.283358282;0.445465578;0.680601751;0.190174396
0.598998999;0.581851326;-0.70177519;0.284287217;0.44692595;0.680503084;0.191100698
0.601721722;0.582626622;-0.700556352;0.285212834;0.448381106;0.680402574;0.192030047
0.604444444;0.583404434;-0.69933356;0.286135133;0.449831047;0.68030021;0.192962427
0.607167167;0.584184752;-0.698106827;0.287054115;0.451275772;0.680195976;0.193897826
0.60988989;0.584967568;-0.696876167;0.28796978;0.452715281;0.68008986;0.19483623
0.612612613;0.585752873;-0.695641595;0.288882126;0.454149575;0.679981846;0.195777625
0.615335335;0.586540657;-0.694403125;0.289791155;0.455578653;0.679871922;0.196721998
0.618058058;0.587330912;-0.693160771;0.290696867;0.457002516;0.679760073;0.197669336
0.620780781;0.588123628;-0.691914547;0.29159926;0.458421163;0.679646286;0.198619623
0.623503504;0.588918797;-0.690664468;0.292498337;0.459834594;0.679530548;0.199572847
0.626226226;0.589716409;-0.689410548;0.293394095;0.46124281;0.679412844;0.200528994
0.628948949;0.590516455;-0.688152801;0.294286536;0.46264581;0.67929316;0.201488049
0.631671672;0.591318927;-0.68689124;0.295175659;0.464043595;0.679171485;0.202449999
0.634394394;0.592123815;-0.685625881;0.296061465;0.465436163;0.679047803;0.20341483
0.637117117;0.59293111;-0.684356738;0.296943953;0.466823517;0.678922101;0.204382527
0.63983984;0.593740804;-0.683083824;0.297823123;0.468205654;0.678794366;0.205353077
0.642562563;0.594552887;-0.681807154;0.298698976;0.469582576;0.678664584;0.206326464
0.645285285;0.59536735;-0.680526742;0.299571511;0.470954283;0.678532742;0.207302676
0.648008008;0.596184184;-0.679242603;0.300440729;0.472320774;0.678398826;0.208281697
0.650730731;0.597003381;-0.67795475;0.301306629;0.473682049;0.678262824;0.209263514
0.653453453;0.59782493;-0.676663198;0.302169211;0.475038109;0.678124721;0.210248111
0.656176176;0.598648824;-0.675367961;0.303028476;0.476388953;0.677984505;0.211235475
0.658898899;0.599475052;-0.674069053;0.303884423;0.477734581;0.677842162;0.21222559
0.661621622;0.600303607;-0.672766488;0.304737052;0.479074994;0.677697679;0.213218442
0.664344344;0.601134478;-0.671460281;0.305586364;0.480410191;0.677551043;0.214214017
0.667067067;0.601967658;-0.670150445;0.306432358;0.481740172;0.677402241;0.2152123
0.66978979;0.602803136;-0.668836996;0.307275035;0.483064938;0.677251259;0.216213275
0.672512513;0.603640904;-0.667519946;0.308114394;0.484384489;0.677098085;0.217216929
0.675235235;0.604480953;-0.666199311;0.308950435;0.485698823;0.676942705;0.218223246
0.677957958;0.605323274;-0.664875104;0.309783159;0.487007942;0.676785107;0.219232211
0.680680681;0.606167857;-0.663547341;0.310612565;0.488311846;0.676625278;0.22024381
0.683403403;0.607014694;-0.662216034;0.311438653;0.489610534;0.676463205;0.221258026
0.686126126;0.607863776;-0.660881198;0.312261424;0.490904006;0.676298875;0.222274846
0.688848849;0.608715094;-0.659542847;0.313080877;0.492192262;0.676132275;0.223294254
0.691571572;0.609568638;-0.658200996;0.313897013;0.493475303;0.675963393;0.224316234
0.694294294;0.6104244;-0.656855659;0.31470983;0.494753129;0.675792215;0.225340772
0.697017017;0.61128237;-0.65550685;0.315519331;0.496025739;0.67561873;0.226367852
0.69973974;0.61214254;-0.654154583;0.316325513;0.497293133;0.675442924;0.227397459
0.702462462;0.613004901;-0.652798872;0.317128379;0.498555311;0.675264786;0.228429577
0.705185185;0.613869443;-0.651439732;0.317927926;0.499812274;0.675084302;0.229464191
0.707907908;0.614736157;-0.650077176;0.318724156;0.501064022;0.674901461;0.230501285
0.710630631;0.615605035;-0.64871122;0.319517068;0.502310553;0.674716249;0.231540843
0.713353353;0.616476067;-0.647341876;0.320306662;0.503551869;0.674528654;0.23258285
0.716076076;0.617349244;-0.64596916;0.321092939;0.50478797;0.674338665;0.233627291
0.718798799;0.618224558;-0.644593086;0.321875899;0.506018855;0.674146269;0.234674149
0.721521522;0.619101999;-0.643213667;0.32265554;0.507244524;0.673951454;0.235723408
0.724244244;0.619981558;-0.641830918;0.323431864;0.508464978;0.673754208;0.236775053
0.726966967;0.620863226;-0.640444853;0.324204871;0.509680216;0.673554518;0.237829067
0.72968969;0.621746995;-0.639055487;0.32497456;0.510890238;0.673352373;0.238885436
0.732412412;0.622632854;-0.637662833;0.325740931;0.512095045;0.673147761;0.239944141
0.735135135;0.623520796;-0.636266906;0.326503984;0.513294636;0.67294067;0.241005169
0.737857858;0.624410811;-0.63486772;0.32726372;0.514489012;0.672731087;0.242068501
0.740580581;0.62530289;-0.633465289;0.328020139;0.515678172;0.672519002;0.243134123
0.743303303;0.626197024;-0.632059627;0.328773239;0.516862116;0.672304403;0.244202017
0.746026026;0.627093204;-0.630650749;0.329523022;0.518040845;0.672087278;0.245272168
0.748748749;0.62799142;-0.629238669;0.330269488;0.519214358;0.671867615;0.246344558
0.751471471;0.628891665;-0.627823401;0.331012636;0.520382655;0.671645403;0.247419173
0.754194194;0.629793929;-0.626404958;0.331752466;0.521545737;0.67142063;0.248495994
0.756916917;0.630698202;-0.624983356;0.332488979;0.522703603;0.671193286;0.249575006
0.75963964;0.631604476;-0.623558609;0.333222173;0.523856254;0.670963358;0.250656192
0.762362362;0.632512742;-0.622130731;0.333952051;0.525003689;0.670730835;0.251739535
0.765085085;0.633422991;-0.620699735;0.33467861;0.526145909;0.670495707;0.252825019
0.767807808;0.634335213;-0.619265636;0.335401853;0.527282912;0.670257963;0.253912627
0.770530531;0.6352494;-0.617828449;0.336121777;0.528414701;0.67001759;0.255002341
0.773253253;0.636165543;-0.616388188;0.336838384;0.529541273;0.669774578;0.256094146
0.775975976;0.637083632;-0.614944866;0.337551673;0.53066263;0.669528917;0.257188024
0.778698699;0.638003659;-0.613498498;0.338261645;0.531778772;0.669280595;0.258283958
0.781421421;0.638925615;-0.612049098;0.338968299;0.532889697;0.669029601;0.259381931
0.784144144;0.63984949;-0.610596681;0.339671635;0.533995407;0.668775925;0.260481926
0.786866867;0.640775275;-0.60914126;0.340371654;0.535095902;0.668519557;0.261583926
0.78958959;0.641702962;-0.60768285;0.341068355;0.536191181;0.668260485;0.262687914
0.792312312;0.642632541;-0.606221465;0.341761738;0.537281244;0.667998699;0.263793873
0.795035035;0.643564004;-0.604757119;0.342451804;0.538366092;0.667734189;0.264901784
0.797757758;0.644497341;-0.603289827;0.343138552;0.539445724;0.667466945;0.266011632
0.80048048;0.645432543;-0.601819602;0.343821983;0.54052014;0.667196955;0.267123398
0.803203203;0.646369602;-0.600346459;0.344502096;0.541589341;0.666924211;0.268237066
0.805925926;0.647308507;-0.598870411;0.345178891;0.542653326;0.666648701;0.269352617
0.808648649;0.648249251;-0.597391474;0.345852369;0.543712096;0.666370416;0.270470034
0.811371371;0.649191825;-0.595909661;0.346522529;0.54476565;0.666089346;0.271589299
0.814094094;0.650136218;-0.594424987;0.347189371;0.545813988;0.665805481;0.272710395
0.816816817;0.651082422;-0.592937466;0.347852896;0.546857111;0.665518811;0.273833305
0.81953954;0.652030429;-0.591447111;0.348513103;0.547895018;0.665229326;0.27495801
0.822262262;0.652980229;-0.589953938;0.349169993;0.54892771;0.664937017;0.276084493
0.824984985;0.653931812;-0.58845796;0.349823565;0.549955186;0.664641873;0.277212736
0.827707708;0.654885171;-0.586959192;0.350473819;0.550977446;0.664343887;0.27834272
0.83043043;0.655840295;-0.585457647;0.351120756;0.551994491;0.664043048;0.279474429
0.833153153;0.656797177;-0.583953341;0.351764375;0.55300632;0.663739346;0.280607844
0.835875876;0.657755806;-0.582446286;0.352404677;0.554012933;0.663432774;0.281742947
0.838598599;0.658716174;-0.580936498;0.35304166;0.555014331;0.66312332;0.28287972
0.841321321;0.659678272;-0.579423991;0.353675327;0.556010513;0.662810977;0.284018145
0.844044044;0.660642091;-0.577908778;0.354305675;0.55700148;0.662495736;0.285158204
0.846766767;0.661607621;-0.576390874;0.354932706;0.557987231;0.662177587;0.286299878
0.849489489;0.662574854;-0.574870294;0.355556419;0.558967766;0.661856521;0.28744315
0.852212212;0.663543781;-0.573347051;0.356176815;0.559943086;0.66153253;0.288588001
0.854934935;0.664514393;-0.571821159;0.356793893;0.56091319;0.661205606;0.289734413
0.857657658;0.66548668;-0.570292633;0.357407654;0.561878079;0.660875739;0.290882368
0.86038038;0.666460634;-0.568761487;0.358018097;0.562837752;0.660542922;0.292031846
0.863103103;0.667436245;-0.567227736;0.358625222;0.563792209;0.660207145;0.29318283
0.865825826;0.668413505;-0.565691392;0.359229029;0.564741451;0.659868401;0.294335301
0.868548549;0.669392404;-0.564152472;0.359829519;0.565685477;0.659526681;0.295489241
0.871271271;0.670372934;-0.562610988;0.360426692;0.566624288;0.659181977;0.29664463
0.873993994;0.671355085;-0.561066955;0.361020547;0.567557882;0.658834282;0.297801451
0.876716717;0.672338848;-0.559520387;0.361611084;0.568486262;0.658483586;0.298959685
